_id,latitude,longitude,elevation,soil_ph,soil_nitrogen,soil_phosphorus,soil_potassium,soil_moisture,soil_cec,avg_temperature,min_temperature,avg_humidity,min_humidity,avg_wind_speed,total_rainfall,traditional_crop[0],traditional_crop[1],traditional_crop[2],recommended_crop[0],recommended_crop[1],recommended_crop[2]
67dd4ea38a14755879d9272a,15.6,74.3,437,5.8,366,396.0,274,389,274,30.11,21.11,91.65,55.63,13.8,4835.1,Alocasia,Angel's Trumpet,Banana,Areca Palm,Langsat,Teak
67dd4eaa8a14755879d9272b,15.6,74.1,435,5.7,620,679.0,254,391,254,30.59,21.1,91.08,54.15,13.0,4910.4,Bougainvillea,Oil Palm,Rubber,Betel Vine,Jute Mallow,Cupua̤u
67dd4eb38a14755879d9272d,15.6,74.6,702,6.3,165,210.0,335,367,335,29.87,20.13,91.08,49.61,18.83,1528.5,Ice Cream Bean (Inga edulis - another variety),Jute (Corchorus capsularis - another variety),Indian Mustard,Gnetum africanum (Eru/Afang),Jute,Jute (Corchorus capsularis - another variety)
67dd4eb88a14755879d9272e,15.6,74.9,692,6.8,148,194.0,320,373,320,30.33,20.4,89.34,47.53,18.93,1197.1,Jute (Corchorus capsularis - another variety),Onion,Cheena,Wheat,Chia,Sesame
67dd4ebc8a14755879d9272f,15.6,74.5,669,6.3,189,225.0,321,385,321,29.78,20.17,92.23,51.09,18.64,1704.8,Curry Leaf (Murraya koenigii - another variety),Basil,Mesta,Coffee,Jack Bean,Bird of Paradise (Strelitzia)
67dd4ec18a14755879d92730,15.6,75.1,609,7.4,139,158.0,401,353,401,31.34,21.22,86.64,44.69,19.48,1022.8,Chayote Squash,Pigeonpea,Mustard,Indian Mustard (Brassica juncea - another variety),Chinese Yam,Curry Leaf
67dd4ed28a14755879d9273f,15.6,75.4,573,7.5,157,156.0,432,352,432,32.05,21.65,84.97,42.45,19.09,1110.4,French Bean (Phaseolus vulgaris - adaptable),Celeriac,Cinnamon,Triticale,Figs,Bajra
67dd4edd8a14755879d92746,15.6,76.0,588,7.4,138,154.0,308,326,308,31.87,21.74,83.3,41.29,19.01,1004.5,Lavender,Mint,Mustard,Coriander (Coriandrum sativum - another variety),Dragon Fruit,Kenaf
67dd4edd8a14755879d92747,15.6,75.0,651,6.9,125,194.0,307,336,307,30.81,20.87,88.08,46.43,19.49,1073.6,Shama Millet,Thyme,African Yam Bean,Jamun,Muskmelon,Avocado
67dd4ee48a14755879d9274a,15.6,77.2,401,7.1,151,240.0,182,329,182,33.34,23.25,80.73,40.04,19.09,768.1,Almond,Thyme,Guava (Psidium guajava - another variety),Pumpkin (Cucurbita pepo - another variety),Kangni,Okinawan Sweet Potato
67dd4ee48a14755879d9274b,15.6,77.3,426,7.1,109,170.0,254,330,254,33.13,22.99,80.91,39.89,18.81,795.2,Pudhina (Mint - another variety),Black-eyed Pea (Vigna unguiculata - another variety),Rice Bean,Cucumber,Agathi Keerai (Sesbania grandiflora),African Millet
67dd4eec8a14755879d9274d,15.6,77.6,422,7.1,107,148.0,206,333,206,32.81,23.07,81.23,41.14,18.38,775.2,French Bean (Phaseolus vulgaris - adaptable),Mustard,Basil,Tepary Bean,Soybean,Navy Bean
67dd4eee8a14755879d9274e,15.6,77.4,422,7.1,115,147.0,295,341,295,33.07,22.91,81.28,40.07,18.17,797.2,Thyme,Pointed Gourd,Cheena,Rosemary,Hyacinth Bean (Lablab purpureus - another variety),Samak Rice (Panicum miliaceum)
67dd4eff8a14755879d9274f,15.6,78.3,361,6.7,151,222.0,190,336,190,33.1,22.92,82.37,41.04,16.27,896.7,Buttercup Squash,Marama Bean,Broomcorn,Mangosteen,Soybean,Borage
67dd4f088a14755879d9275b,15.6,78.2,349,6.9,117,306.0,211,349,211,33.2,23.35,82.26,41.64,17.17,834.2,Indian Jujube (Ziziphus mauritiana),Kabocha Squash,Cashew,Custard Apple (Annona squamosa - another variety),Geocarpa Groundnut,Kundru
67dd4f118a14755879d9275d,15.6,79.4,168,7.0,166,323.0,295,361,295,33.57,23.6,90.09,44.16,17.04,1206.8,Buttercup Squash,Jute (Corchorus capsularis - another variety),Chickpea (Cicer arietinum - another variety),African Rice,Tinda (Indian Squash),Cotton
67dd4f248a14755879d92760,15.6,80.1,18,7.3,179,251.0,289,347,289,33.11,24.52,92.55,51.06,16.67,1470.6,Jute (Corchorus capsularis - another variety),Jackfruit,Lobia (Cowpea - another variety),Magnolia champaca (Champak),Cassava,Moong
67dd4f2b8a14755879d92762,15.6,79.6,93,7.2,156,227.0,302,324,302,33.98,24.32,89.52,44.85,17.49,1265.2,Sweet Potato,Water Lily (Nymphaea),Spiny Gourd,Lobia (Cowpea - another variety),Urad,Lagos Bologi
67dd4f2e8a14755879d92763,15.6,79.0,278,6.6,181,325.0,217,344,217,33.07,22.92,86.0,43.55,15.53,895.7,Bengal Gram (Cicer arietinum - another variety),Tepary Bean (Phaseolus acutifolius - another variety),Fennel (Foeniculum vulgare - another variety),Sweet Potato,Ridge Gourd (Luffa acutangula - another variety),Borage
67dd4f358a14755879d92765,15.6,79.8,200,6.8,175,398.0,285,338,285,33.25,23.3,91.73,45.04,16.76,1218.6,Coconut,Durian,Abiu,Muskmelon,Dragon Fruit,Watermelon
67dd4f398a14755879d92766,15.6,78.4,295,6.9,140,285.0,197,321,197,33.51,23.21,85.67,41.55,15.73,955.1,Eggplant,Flax,Winter Savory,African Rice,Jute,Bird of Paradise (Strelitzia)
67dd4f508a14755879d9276d,15.6,79.3,217,6.9,175,215.0,271,345,271,33.28,23.24,88.86,43.95,17.04,1158.8,Rajma (Kidney Bean - another variety),Calabaza,Chinese Yam,Figs,Spaghetti Squash,Teak
67dd4f6b8a14755879d92780,15.7,74.0,60,6.1,236,264.0,213,395,213,32.76,23.02,90.57,53.13,14.52,3584.4,Tigernut,Burmese Grape,Coconut,Galangal,Bougainvillea,Sugarcane
67dd4f6b8a14755879d92781,15.7,74.1,242,5.9,263,289.0,217,386,217,31.3,21.88,91.49,54.73,13.54,4517.8,Duku,Xanthosoma,Alpinia purpurata (Red Ginger),Kepel Apple,Wax Gourd,Salak
67dd4f6b8a14755879d92782,15.7,73.9,8,6.1,225,304.0,221,407,221,33.12,22.95,92.93,53.11,15.35,3640.4,Areca Nut,Arecanut,Etlingera elatior (Torch Ginger),Sugarcane,Colocasia,Costus
67dd4f728a14755879d92784,15.7,74.2,803,5.6,351,508.0,300,375,300,28.19,19.81,91.26,55.15,16.99,3392.8,Etlingera elatior (Torch Ginger),Costus speciosus (Crepe Ginger),Monkey Jackfruit,Sugarcane,Costus speciosus (Crepe Ginger),Bougainvillea
67dd52368a14755879d927b6,15.7,79.6,97,7.2,154,492.0,356,346,356,34.02,23.97,89.84,44.16,17.1,1249.3,Snake Gourd,Summer Savory,Pointed Gourd,Pomelo,Bell Pepper,Indian Mustard
67dd52378a14755879d927b7,15.7,79.2,157,7.2,152,338.0,275,359,275,33.73,23.71,87.62,44.01,16.25,1085.6,Pudhina (Mint - another variety),Stevia,Indian Mustard (Brassica juncea - another variety),Okinawan Sweet Potato,Brazil Nut,Kangni (Setaria italica - another variety)
67dd52378a14755879d927b8,15.7,79.9,43,7.2,203,493.0,284,356,284,33.89,24.48,90.9,46.22,16.86,1354.0,Guinea Millet,Macadamia,Lablab purpureus (Hyacinth Bean - another variety),Tepary Bean,Pointed Gourd,Mustard
67dd52378a14755879d927b9,15.7,79.8,60,7.0,209,484.0,258,364,258,33.91,24.23,91.43,46.03,16.57,1365.3,Rapeseed,Ridge Gourd (Luffa acutangula - another variety),Piper sarmentosum (Wild Betel),Sponge Gourd (Luffa aegyptiaca),Baccaurea motleyana (Rambai),Snake Gourd (Trichosanthes cucumerina - another variety)
67dd52378a14755879d927ba,15.7,80.0,35,7.2,214,437.0,291,349,291,33.7,24.6,91.67,47.26,17.01,1350.7,Cotton,Parwal (Pointed Gourd - another variety),Italian Millet,Nectarine,Fennel (Foeniculum vulgare - another variety),Jackfruit
67dd52378a14755879d927bb,15.7,79.7,92,6.9,173,228.0,265,348,265,33.84,24.05,91.1,45.74,16.54,1354.3,Jasmine (Jasminum sambac),Telfairia occidentalis (Fluted Pumpkin),Hyacinth Bean (Lablab purpureus - another variety),Mesta,Ridge Gourd (Luffa acutangula - another variety),Water Caltrop (Trapa natans)
67dd523d8a14755879d927bc,15.7,79.4,158,7.1,156,468.0,266,324,266,33.74,23.58,89.11,43.55,16.85,1237.2,Amaranth,Basil,Sunn Hemp,Hazelnut,Avocado,Sword Bean
67dd52538a14755879d927bf,15.7,79.3,161,7.2,125,368.0,275,338,275,33.79,23.63,87.94,43.29,16.57,1133.0,Kokum,Jute,Telfairia occidentalis (Fluted Pumpkin),Ivy Gourd,Magnolia champaca (Champak),Cluster Bean (Cyamopsis tetragonoloba - another variety)
67dd52758a14755879d927c9,15.8,73.7,94,6.3,251,280.0,216,395,216,30.6,23.13,90.81,60.19,18.43,3788.1,Monkey Jackfruit,Angel's Trumpet,Chrysophyllum albidum (African Star Apple),Galangal,Curcuma longa (Turmeric - ornamental variety),Colocasia
67dd52888a14755879d927cb,15.8,73.9,113,6.1,226,271.0,206,394,206,32.54,22.31,91.83,52.11,14.84,3562.2,Wax Gourd,Arrowroot,Pepper,Hibiscus,Lemon Grass,Langsat
67dd93668a14755879d927d2,15.8,74.4,766,6.3,199,253.0,373,383,373,28.95,20.19,90.54,52.66,18.77,1870.2,Pistachio,Ixora,Gnetum africanum (Eru/Afang),Gnetum africanum (Eru/Afang),Canna Lily (Canna indica - another variety),Arrowroot
67dd93668a14755879d927d1,15.7,80.1,44,7.3,198,465.0,324,349,324,33.42,24.46,92.12,48.8,16.75,1383.2,Amaranth,Coconut,Curry Leaf,Pineapple,Drumstick (Moringa oleifera - another variety),Soursop
67dd936e8a14755879d927d3,15.8,74.6,760,6.3,197,230.0,375,382,375,29.89,20.19,87.18,47.31,18.15,1344.5,Spinach,Cherry,Summer Savory,Peas,Cupua̤u,Gnetum africanum (Eru/Afang)
67dd936e8a14755879d927d4,15.8,74.0,594,5.9,370,411.0,230,400,230,28.91,20.23,92.36,56.47,13.87,4470.1,Jaboticaba,Kava,Hibiscus,Heliconia psittacorum (Parrot's Beak),Arecanut,Persicaria odorata (Vietnamese Coriander)
67dd93748a14755879d927d5,15.8,74.7,696,6.7,165,209.0,405,382,405,30.41,20.52,87.44,46.66,17.98,1259.2,Cowpea,Loquat,Bajra,Tomato,Cassava,Cluster Bean (Cyamopsis tetragonoloba - another variety)
67dd937d8a14755879d927d7,15.8,74.8,680,7.0,146,174.0,387,376,387,30.63,20.59,87.2,45.97,17.7,1144.8,Job's Tears,Tarragon,Avocado,Guava,Celosia argentea (Lagos spinach - another variety),Kabocha Squash
67dd93828a14755879d927d8,15.8,74.9,672,7.0,137,385.0,390,373,390,30.6,20.64,87.45,46.16,17.61,1102.8,Pistachio,Fonio,Turban Squash,Sisal,Sesame,Blackberry
67dd938e8a14755879d927e1,15.8,75.2,645,6.8,148,197.0,244,357,244,31.3,21.17,84.67,43.2,19.13,1089.9,Field Bean,Arugula,Sawa Millet,Roselle,Kenaf (Hibiscus cannabinus - another variety),Indian Gooseberry (Phyllanthus emblica - another variety)
67dd93a28a14755879d927ef,15.8,76.7,403,7.1,163,160.0,217,318,217,33.53,22.93,79.15,38.83,18.09,837.8,Kangni,Chestnut,Spiny Gourd,Sisal,Chickpea,Fava Bean
67dd93a28a14755879d927f0,15.8,76.3,675,7.1,134,158.0,278,357,278,31.36,21.22,81.81,40.8,18.93,771.7,Mustard,Turmeric (Curcuma longa - another variety),Macadamia Nut,Foxtail Millet (Setaria italica - another variety),Sorghum,Jerusalem Artichoke
67dd93a28a14755879d927f1,15.8,76.9,378,7.3,119,169.0,265,311,265,33.57,23.19,79.38,39.36,17.53,900.8,Coriander (Coriandrum sativum - another variety),Peas,Pumpkin (Cucurbita pepo - another variety),Hyacinth Bean (Lablab purpureus - another variety),Bottle Gourd,Parwal (Pointed Gourd - another variety)
67dd93a28a14755879d927f2,15.8,77.0,354,7.1,107,181.0,168,328,168,33.79,23.37,79.24,38.99,17.44,877.7,Winged Bean,Indian Mustard,Custard Apple,Pumpkin (Cucurbita pepo - another variety),Geocarpa Groundnut,Cashew
67dd93a28a14755879d927f3,15.8,77.1,368,7.2,122,205.0,280,316,280,33.56,23.26,79.72,39.57,17.65,833.5,Indian Jujube (Ziziphus mauritiana),Urad,Passion Fruit,Guava,Jasmine (Jasminum sambac),Sunn Hemp
67dd93a88a14755879d927f5,15.8,77.3,376,6.9,106,177.0,191,336,191,33.31,23.3,80.34,40.68,17.93,859.7,Little Millet,Orange,Corn,Kodo Millet (Paspalum scrobiculatum - another variety),Pumpkin (Cucurbita pepo - another variety),Guar
67dd93a98a14755879d927f6,15.8,77.6,331,7.2,114,154.0,295,324,295,33.5,23.48,80.35,40.82,17.15,779.9,Kidney Bean,Fava Bean,Yam Bean,Yam Bean (Pachyrhizus erosus - another variety),Peach,Eggplant
67dd93ad8a14755879d927f7,15.8,77.8,326,7.4,124,157.0,348,321,348,33.57,23.53,80.19,40.57,17.56,847.7,Wheat,Rosemary,Shallot,Indian Jujube (Ziziphus mauritiana),Hyacinth Bean,Kenaf
67dd93ad8a14755879d927f8,15.8,77.7,331,7.3,110,348.0,229,300,229,33.51,23.49,80.05,40.67,17.42,829.3,Marjoram,Persimmon,Sitaphal (Annona squamosa),Jamun,Indian Jujube (Ziziphus mauritiana),Bengal Gram (Cicer arietinum - another variety)
67dd93ad8a14755879d927f9,15.8,77.9,323,7.5,123,160.0,320,319,320,33.71,23.51,80.13,40.01,17.29,849.6,Cheena,Chayote Squash,Dill,Sunflower,Agathi Keerai (Sesbania grandiflora),Hemp
67dd93b68a14755879d927fa,15.8,78.3,314,7.5,118,377.0,310,322,310,33.74,23.31,82.08,40.53,16.98,920.8,Cumin,Soybean,Adzuki Bean,Peanut,Macadamia,Longan
67dd93b78a14755879d927fb,15.8,78.1,283,6.8,135,349.0,168,322,168,33.96,23.67,81.35,40.21,16.94,918.7,Ramphal (Annona reticulata),Agathi Keerai (Sesbania grandiflora),Tarragon,Finger Millet,Jackfruit,Sandalwood
67dd93b88a14755879d927fc,15.8,76.6,429,7.4,119,151.0,300,338,300,33.0,22.66,80.58,40.21,18.65,799.7,Macadamia,Bitter Gourd,Guinea Millet,Blackberry,Anise,Black Gram (Vigna mungo - another variety)
67dd93be8a14755879d927fd,15.8,78.4,290,7.2,120,405.0,292,380,292,33.81,23.42,82.59,41.03,17.08,944.1,African Rice,Cumin,Indian Jujube (Ziziphus mauritiana),Crossandra,Jowar,Snake Gourd
67dd93be8a14755879d927fe,15.8,78.5,276,7.0,152,256.0,218,374,218,33.85,23.14,83.41,40.77,16.08,1078.9,Jasmine (Jasminum sambac),Dolichos Bean (Lablab purpureus - another variety),Ivy Gourd,Barley,Sitaphal (Annona squamosa),Ricebean
67dd93c48a14755879d927ff,15.8,78.8,861,6.0,287,412.0,204,357,204,28.6,18.87,91.68,48.62,16.09,1046.7,Barnyard Millet,Sorghum (Sorghum bicolor - another variety),Kangni,Marjoram,Sunflower,Wheat
67dd93c98a14755879d92803,15.8,79.1,299,6.8,147,206.0,230,385,230,32.59,22.77,87.31,45.57,15.72,1068.8,Figs,Raspberry,Paspalum scrobiculatum (Kodo Millet - another variety),Wheat,Nutmeg,Pecan
67dd93cb8a14755879d92804,15.8,78.9,392,6.4,229,301.0,198,382,198,31.79,22.12,89.26,47.68,15.99,879.1,Shama Millet,Buttercup Squash,Tepary Bean,Peas,Hyacinth Bean (Lablab purpureus - another variety),Calendula
67dd93d68a14755879d92809,15.8,78.0,295,7.3,125,139.0,239,313,239,34.0,23.65,80.63,39.51,16.84,870.9,Wheat,Snake Gourd,Orange,Kabocha Squash,Sorghum (Sorghum bicolor - another variety),Rice Bean (Vigna umbellata - another variety)
67dd93dd8a14755879d9280a,15.8,79.2,172,7.1,150,347.0,294,365,294,33.66,23.6,87.15,43.8,15.82,1107.0,Amaranth,Sawa,Tepary Bean,Sword Bean,Abiu,Pearl Millet
67dd93de8a14755879d9280b,15.8,79.9,40,7.1,161,499.0,290,351,290,33.95,24.34,91.33,46.4,16.66,1357.4,Pineapple,Pumpkin,Sweet Pepper,Baccaurea motleyana (Rambai),Durian,Cucumber
67dd93e68a14755879d9280e,15.8,80.3,5,6.7,192,234.0,262,378,262,31.53,25.03,91.28,58.95,17.99,1572.9,Gingelly,Mangosteen (Garcinia mangostana - adaptability considerations),Sword Bean,Bouea macrophylla (Gandaria/Plum Mango),Cinnamon,Canarium ovatum (Pili Nut)
67dd93e78a14755879d9280f,15.8,77.2,389,7.0,113,202.0,235,332,235,33.23,23.19,79.93,40.35,17.94,866.0,Indian Mustard (Brassica juncea - another variety),Browntop Millet,Rambutan,Pear,Borage,Sunflower
67dd93ec8a14755879d92815,15.8,79.3,136,7.2,123,327.0,248,327,248,33.99,23.78,87.81,43.34,16.2,1215.1,Hyacinth Bean,Cluster Bean (Cyamopsis tetragonoloba - another variety),Pineapple,Star Fruit,Ajwain (Trachyspermum ammi),Agathi Keerai (Sesbania grandiflora)
67dd94228a14755879d92824,15.9,73.9,54,6.0,242,248.0,233,394,233,32.87,22.76,90.35,51.92,14.11,3577.6,Bouea macrophylla (Gandaria/Plum Mango),Langsat,Arrowhead,Kava,Banana,Langsat
