Crop,Soil_pH,Soil_Nitrogen,Soil_Phosphorus,Soil_Potassium,Soil_Moisture,Soil_CEC,Avg_Temperature,Min_Temperature,Avg_Humidity,Min_Humidity,Avg_Wind_Speed,Total_Rainfall,Min_Elevation,Max_Elevation
Abiu,6.4,150.0,130.0,180.0,400.0,220.0,27.0,22.0,80.0,60.0,3.0,1400.0,0.0,500.0
Acai Berry,6.1,290.0,240.0,260.0,370.0,270.0,30.5,20.5,78.0,48.0,10.8,980.0,0.0,200.0
Achocha,6.0,130.0,110.0,160.0,380.0,200.0,28.0,23.0,75.0,55.0,3.0,1100.0,0.0,1000.0
Acorn Squash,6.2,180.0,150.0,200.0,470.0,270.0,28.0,23.0,82.0,62.0,3.5,1600.0,0.0,1500.0
Adlay Millet,6.0,90.0,70.0,110.0,280.0,120.0,24.0,18.0,70.0,50.0,2.5,800.0,0.0,2000.0
Adzuki Bean,6.1,255.0,205.0,225.0,335.0,235.0,25.0,15.0,74.0,44.0,10.5,860.0,0.0,800.0
African Millet,6.3,120.0,100.0,130.0,330.0,130.0,28.0,22.0,78.0,58.0,2.9,900.0,0.0,2500.0
African Rice,6.2,100.0,80.0,120.0,300.0,130.0,25.0,19.0,72.0,52.0,2.7,900.0,0.0,1500.0
African Yam Bean,6.4,150.0,130.0,160.0,450.0,190.0,27.0,21.0,76.0,56.0,3.0,1500.0,0.0,1500.0
Agathi Keerai (Sesbania grandiflora),6.0,140.0,110.0,160.0,350.0,170.0,27.0,22.0,70.0,50.0,2.8,900.0,0.0,500.0
Air Potato,6.4,120.0,100.0,140.0,380.0,160.0,28.0,22.0,74.0,54.0,3.3,1200.0,0.0,500.0
Ajwain (Trachyspermum ammi),6.2,130.0,100.0,150.0,280.0,140.0,28.0,22.0,70.0,50.0,2.8,900.0,0.0,1200.0
Allamanda cathartica (Golden Trumpet),6.0,100.0,80.0,120.0,350.0,180.0,27.0,22.0,70.0,50.0,2.5,1800.0,0.0,50.0
Almond,6.5,260.0,210.0,230.0,360.0,220.0,27.5,17.5,65.0,35.0,11.0,800.0,300.0,1200.0
Alocasia,6.4,160.0,130.0,190.0,450.0,220.0,26.0,21.0,82.0,62.0,3.0,2500.0,0.0,1000.0
Alpinia purpurata (Red Ginger),6.2,160.0,130.0,170.0,390.0,190.0,26.0,20.0,80.0,60.0,3.4,2300.0,0.0,1000.0
Amaranth,6.4,255.0,205.0,225.0,335.0,235.0,26.5,16.5,85.0,55.0,11.0,910.0,0.0,3000.0
Amaranth (Amaranthus - another variety),6.2,100.0,80.0,110.0,270.0,110.0,24.0,18.0,70.0,50.0,2.3,800.0,0.0,3000.0
Amla,6.0,140.0,120.0,170.0,320.0,170.0,28.0,23.0,65.0,45.0,2.8,800.0,0.0,1300.0
Angel's Trumpet,6.5,150.0,130.0,170.0,470.0,260.0,28.0,22.0,86.0,66.0,3.6,2600.0,0.0,1000.0
Anise,6.3,150.0,120.0,180.0,380.0,170.0,24.0,18.0,72.0,52.0,2.9,850.0,0.0,1500.0
Aonla,6.2,140.0,120.0,170.0,320.0,170.0,29.0,24.0,70.0,50.0,2.8,900.0,0.0,1300.0
Apple,6.0,230.0,180.0,200.0,300.0,220.0,15.0,5.0,65.0,35.0,12.5,900.0,300.0,2500.0
Apricot,6.4,270.0,220.0,240.0,350.0,250.0,26.5,16.5,77.0,47.0,12.0,940.0,300.0,1500.0
Areca Nut,6.0,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.0,2000.0,0.0,1200.0
Areca Palm,6.0,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.0,2000.0,0.0,1000.0
Arecanut,6.0,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.0,2000.0,0.0,1200.0
Argyreia nervosa (Hawaiian Baby Woodrose),6.2,110.0,90.0,130.0,380.0,200.0,28.0,23.0,75.0,55.0,2.8,2000.0,0.0,300.0
Arhar,6.5,120.0,150.0,180.0,320.0,150.0,27.0,22.0,70.0,50.0,3.0,1000.0,0.0,1500.0
Arracacha,6.3,140.0,120.0,170.0,350.0,180.0,22.0,16.0,68.0,48.0,2.7,750.0,1000.0,2400.0
Arrowhead,6.5,120.0,90.0,150.0,420.0,230.0,25.0,20.0,75.0,55.0,3.0,1800.0,0.0,500.0
Arrowroot,6.3,120.0,90.0,150.0,450.0,240.0,26.0,21.0,80.0,60.0,3.3,2300.0,0.0,1000.0
Artichoke,6.0,150.0,180.0,200.0,300.0,120.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,1000.0
Arugula,6.5,150.0,130.0,170.0,440.0,190.0,27.0,21.0,80.0,60.0,3.2,1500.0,0.0,1500.0
Asafoetida (Ferula assa-foetida),6.0,150.0,120.0,180.0,300.0,160.0,27.0,20.0,65.0,45.0,2.5,800.0,400.0,2000.0
Ash Gourd,6.2,110.0,90.0,140.0,330.0,160.0,28.0,23.0,72.0,52.0,2.8,1100.0,0.0,500.0
Asparagus,6.5,120.0,150.0,180.0,280.0,100.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,2000.0
Averrhoa bilimbi (Bilimbi/Cucumber Tree),6.5,130.0,110.0,140.0,350.0,160.0,25.0,19.0,75.0,55.0,2.0,1500.0,0.0,500.0
Avocado,6.2,280.0,230.0,250.0,390.0,250.0,25.5,15.5,70.0,40.0,10.5,900.0,0.0,2000.0
Baccaurea motleyana (Rambai),6.0,140.0,120.0,150.0,370.0,170.0,26.0,20.0,80.0,60.0,2.3,1700.0,0.0,500.0
Bacuri,6.2,130.0,100.0,160.0,320.0,140.0,23.0,17.0,68.0,48.0,2.3,1600.0,0.0,500.0
Bael,6.1,120.0,100.0,140.0,280.0,150.0,31.0,26.0,55.0,35.0,3.5,600.0,0.0,1200.0
Bajra,6.5,100.0,80.0,120.0,280.0,120.0,30.0,24.0,75.0,55.0,3.2,850.0,0.0,2700.0
Bambara Groundnut,6.4,270.0,220.0,240.0,350.0,250.0,28.0,18.0,69.0,41.0,12.8,920.0,0.0,1500.0
Bamboo,6.3,90.0,70.0,110.0,320.0,140.0,26.0,21.0,72.0,52.0,2.5,1300.0,0.0,2500.0
Banana,6.5,320.0,280.0,270.0,550.0,290.0,29.5,19.5,82.0,52.0,6.5,2800.0,0.0,1500.0
Barley,6.3,255.0,195.0,215.0,340.0,235.0,24.0,14.0,68.0,38.0,11.2,1000.0,0.0,3500.0
Barnyard Millet,6.0,85.0,65.0,105.0,255.0,105.0,27.5,21.5,73.0,53.0,2.9,720.0,0.0,1200.0
Barringtonia procera (Cutnut),6.0,150.0,120.0,160.0,420.0,200.0,28.0,23.0,80.0,60.0,3.5,2000.0,0.0,500.0
Basella,6.3,180.0,160.0,210.0,450.0,250.0,29.0,24.0,78.0,58.0,3.5,1700.0,0.0,500.0
Basil,6.5,260.0,210.0,230.0,340.0,240.0,25.0,15.0,72.0,42.0,10.8,860.0,0.0,1000.0
Beetroot,6.5,100.0,120.0,150.0,300.0,120.0,18.0,12.0,55.0,35.0,1.5,500.0,0.0,2000.0
Bell Pepper,6.0,150.0,180.0,200.0,320.0,150.0,24.0,18.0,70.0,50.0,3.0,1000.0,0.0,2000.0
Bengal Gram (Cicer arietinum - another variety),6.1,130.0,100.0,150.0,330.0,160.0,26.0,20.0,65.0,45.0,2.7,900.0,0.0,1800.0
Betel Nut,6.0,280.0,230.0,250.0,380.0,240.0,26.0,16.0,78.0,48.0,9.8,1300.0,0.0,1200.0
Betel Vine,6.5,220.0,170.0,220.0,400.0,230.0,27.0,22.0,80.0,65.0,3.5,2000.0,0.0,1000.0
Bignay,6.5,200.0,170.0,230.0,390.0,210.0,28.5,23.5,79.0,59.0,3.2,2200.0,0.0,600.0
Bird of Paradise (Strelitzia),6.0,120.0,90.0,140.0,350.0,160.0,24.0,18.0,70.0,50.0,2.5,1200.0,0.0,1000.0
Bitter Gourd,6.1,260.0,210.0,230.0,340.0,240.0,26.0,16.0,85.0,53.0,10.0,930.0,0.0,500.0
Black Cumin (Nigella sativa),6.5,130.0,110.0,160.0,280.0,140.0,22.0,16.0,60.0,40.0,2.0,600.0,0.0,1000.0
Black Gram (Vigna mungo - another variety),6.3,100.0,80.0,120.0,300.0,140.0,27.0,21.0,70.0,50.0,3.0,1000.0,0.0,1200.0
Black Pepper,6.0,250.0,200.0,250.0,400.0,250.0,27.0,22.0,80.0,65.0,3.5,2000.0,0.0,800.0
Black-eyed Pea (Vigna unguiculata - another variety),6.0,110.0,80.0,120.0,310.0,130.0,27.0,21.0,72.0,52.0,2.8,1050.0,0.0,1000.0
Blackberry,6.0,260.0,210.0,230.0,370.0,250.0,19.5,9.5,82.0,52.0,9.0,1100.0,0.0,1500.0
Blueberry,5.5,240.0,195.0,215.0,360.0,240.0,17.5,7.5,88.0,58.0,7.8,1300.0,0.0,1500.0
Borage,6.2,80.0,60.0,110.0,290.0,120.0,24.0,18.0,68.0,48.0,2.3,750.0,0.0,1500.0
Bottle Gourd,6.2,255.0,205.0,225.0,335.0,235.0,25.5,15.5,83.0,51.0,10.2,910.0,0.0,500.0
Bouea macrophylla (Gandaria/Plum Mango),6.2,150.0,130.0,160.0,390.0,180.0,27.0,21.0,85.0,65.0,2.5,1900.0,0.0,300.0
Bougainvillea,6.0,160.0,140.0,180.0,430.0,230.0,29.0,23.0,88.0,68.0,3.8,2800.0,0.0,1500.0
Brazil Nut,6.4,310.0,260.0,280.0,400.0,290.0,29.0,19.0,79.0,49.0,13.0,1200.0,0.0,500.0
Brazil Nut (Bertholletia excelsa),6.3,180.0,150.0,200.0,450.0,220.0,27.0,22.0,85.0,65.0,3.5,2500.0,0.0,500.0
Breadfruit,6.5,200.0,150.0,200.0,400.0,230.0,27.0,22.0,80.0,60.0,3.5,2000.0,0.0,700.0
Broccoli,6.5,180.0,200.0,220.0,320.0,150.0,15.0,10.0,60.0,40.0,2.0,600.0,0.0,2000.0
Broomcorn,6.0,150.0,100.0,120.0,300.0,120.0,27.0,22.0,70.0,50.0,3.0,800.0,0.0,1500.0
Browntop Millet,6.1,120.0,100.0,140.0,290.0,140.0,26.5,20.5,72.0,52.0,2.8,800.0,0.0,2000.0
Buckwheat,6.0,240.0,190.0,215.0,320.0,220.0,21.0,11.0,75.0,48.0,10.0,900.0,0.0,3000.0
Burmese Grape,6.5,160.0,130.0,180.0,430.0,210.0,29.0,23.0,76.0,56.0,3.4,1900.0,0.0,500.0
Buttercup Squash,6.4,130.0,100.0,150.0,350.0,180.0,27.0,22.0,72.0,52.0,3.0,1100.0,0.0,500.0
Cabbage,6.5,180.0,200.0,220.0,320.0,150.0,15.0,10.0,60.0,40.0,2.0,600.0,0.0,2000.0
Cacao,6.0,220.0,170.0,250.0,400.0,240.0,27.0,21.0,85.0,70.0,3.5,2000.0,0.0,800.0
Calabaza,6.4,190.0,160.0,210.0,430.0,240.0,29.0,24.0,84.0,64.0,3.7,1700.0,0.0,2000.0
Calendula,6.3,75.0,55.0,105.0,270.0,100.0,23.0,17.0,66.0,46.0,2.1,720.0,0.0,1000.0
Calla Lily,6.2,110.0,90.0,130.0,380.0,180.0,24.0,18.0,78.0,58.0,2.8,1800.0,0.0,500.0
Callaloo,6.3,140.0,120.0,160.0,420.0,180.0,26.0,20.0,78.0,58.0,3.0,1400.0,0.0,500.0
Canarium ovatum (Pili Nut),6.2,160.0,130.0,170.0,450.0,220.0,26.0,21.0,75.0,55.0,3.0,1800.0,0.0,1500.0
Canna Lily,6.0,100.0,80.0,120.0,350.0,160.0,27.0,22.0,75.0,55.0,3.0,2000.0,0.0,1000.0
Canna Lily (Canna indica - another variety),6.2,130.0,100.0,150.0,380.0,180.0,25.0,19.0,75.0,55.0,2.8,1400.0,0.0,1000.0
Canola,6.5,120.0,80.0,100.0,280.0,100.0,18.0,12.0,55.0,35.0,1.5,500.0,0.0,1000.0
Carambola (Starfruit),6.3,130.0,100.0,140.0,320.0,160.0,27.0,21.0,75.0,55.0,2.5,1700.0,0.0,500.0
